date,Water Level (m),Minor flood,Moderate flood,Major flood
27/02/2022 00:22,2.5,3.8,7.9,10.5
27/02/2022 00:40,2.51,3.8,7.9,10.5
27/02/2022 00:51,2.51,3.8,7.9,10.5
27/02/2022 00:56,2.52,3.8,7.9,10.5
27/02/2022 01:33,2.54,3.8,7.9,10.5
27/02/2022 01:53,2.55,3.8,7.9,10.5
27/02/2022 02:18,2.56,3.8,7.9,10.5
27/02/2022 02:54,2.57,3.8,7.9,10.5
27/02/2022 03:51,2.57,3.8,7.9,10.5
27/02/2022 05:58,2.56,3.8,7.9,10.5
27/02/2022 06:51,2.55,3.8,7.9,10.5
27/02/2022 07:16,2.54,3.8,7.9,10.5
27/02/2022 07:43,2.53,3.8,7.9,10.5
27/02/2022 08:14,2.52,3.8,7.9,10.5
27/02/2022 08:54,2.51,3.8,7.9,10.5
27/02/2022 09:42,2.5,3.8,7.9,10.5
27/02/2022 09:51,2.5,3.8,7.9,10.5
27/02/2022 10:42,2.49,3.8,7.9,10.5
27/02/2022 11:29,2.48,3.8,7.9,10.5
27/02/2022 11:58,2.47,3.8,7.9,10.5
27/02/2022 12:33,2.46,3.8,7.9,10.5
27/02/2022 12:48,2.45,3.8,7.9,10.5
27/02/2022 12:51,2.45,3.8,7.9,10.5
27/02/2022 13:10,2.44,3.8,7.9,10.5
27/02/2022 13:27,2.43,3.8,7.9,10.5
27/02/2022 13:45,2.42,3.8,7.9,10.5
27/02/2022 14:03,2.41,3.8,7.9,10.5
27/02/2022 14:17,2.4,3.8,7.9,10.5
27/02/2022 14:34,2.39,3.8,7.9,10.5
27/02/2022 14:49,2.38,3.8,7.9,10.5
27/02/2022 14:59,2.37,3.8,7.9,10.5
27/02/2022 15:09,2.36,3.8,7.9,10.5
27/02/2022 15:21,2.35,3.8,7.9,10.5
27/02/2022 15:30,2.34,3.8,7.9,10.5
27/02/2022 15:41,2.33,3.8,7.9,10.5
27/02/2022 15:51,2.32,3.8,7.9,10.5
27/02/2022 16:00,2.31,3.8,7.9,10.5
27/02/2022 16:10,2.3,3.8,7.9,10.5
27/02/2022 16:19,2.29,3.8,7.9,10.5
27/02/2022 16:32,2.28,3.8,7.9,10.5
27/02/2022 16:43,2.27,3.8,7.9,10.5
27/02/2022 16:53,2.26,3.8,7.9,10.5
27/02/2022 17:04,2.25,3.8,7.9,10.5
27/02/2022 17:13,2.24,3.8,7.9,10.5
27/02/2022 17:24,2.23,3.8,7.9,10.5
27/02/2022 17:33,2.22,3.8,7.9,10.5
27/02/2022 17:44,2.21,3.8,7.9,10.5
27/02/2022 17:54,2.2,3.8,7.9,10.5
27/02/2022 18:03,2.19,3.8,7.9,10.5
27/02/2022 18:14,2.18,3.8,7.9,10.5
27/02/2022 18:25,2.17,3.8,7.9,10.5
27/02/2022 18:34,2.16,3.8,7.9,10.5
27/02/2022 18:43,2.15,3.8,7.9,10.5
27/02/2022 18:51,2.15,3.8,7.9,10.5
27/02/2022 18:52,2.14,3.8,7.9,10.5
27/02/2022 19:02,2.13,3.8,7.9,10.5
27/02/2022 19:11,2.12,3.8,7.9,10.5
27/02/2022 19:18,2.11,3.8,7.9,10.5
27/02/2022 19:31,2.1,3.8,7.9,10.5
27/02/2022 19:39,2.09,3.8,7.9,10.5
27/02/2022 19:52,2.08,3.8,7.9,10.5
27/02/2022 19:59,2.07,3.8,7.9,10.5
27/02/2022 20:09,2.06,3.8,7.9,10.5
27/02/2022 20:20,2.05,3.8,7.9,10.5
27/02/2022 20:27,2.04,3.8,7.9,10.5
27/02/2022 20:39,2.03,3.8,7.9,10.5
27/02/2022 20:49,2.02,3.8,7.9,10.5
27/02/2022 21:00,2.01,3.8,7.9,10.5
27/02/2022 21:10,2.0,3.8,7.9,10.5
27/02/2022 21:18,1.99,3.8,7.9,10.5
27/02/2022 21:33,1.98,3.8,7.9,10.5
27/02/2022 21:42,1.97,3.8,7.9,10.5
27/02/2022 21:51,1.97,3.8,7.9,10.5
27/02/2022 21:54,1.96,3.8,7.9,10.5
27/02/2022 22:10,1.95,3.8,7.9,10.5
27/02/2022 22:23,1.94,3.8,7.9,10.5
27/02/2022 22:44,1.93,3.8,7.9,10.5
27/02/2022 23:02,1.92,3.8,7.9,10.5
27/02/2022 23:37,1.91,3.8,7.9,10.5
28/02/2022 00:19,1.9,3.8,7.9,10.5
28/02/2022 00:51,1.9,3.8,7.9,10.5
28/02/2022 01:38,1.89,3.8,7.9,10.5
28/02/2022 03:31,1.87,3.8,7.9,10.5
28/02/2022 03:51,1.87,3.8,7.9,10.5
28/02/2022 04:09,1.86,3.8,7.9,10.5
28/02/2022 04:38,1.85,3.8,7.9,10.5
