date,Water Level (m),Minor flood,Moderate flood,Major flood
21/02/2022 03:44,-0.24,6,12,17
21/02/2022 06:44,-0.24,6,12,17
21/02/2022 09:44,-0.24,6,12,17
21/02/2022 09:47,-0.19,6,12,17
21/02/2022 12:44,-0.19,6,12,17
21/02/2022 15:44,-0.19,6,12,17
21/02/2022 18:44,-0.19,6,12,17
21/02/2022 21:44,-0.19,6,12,17
22/02/2022 00:44,-0.19,6,12,17
22/02/2022 03:44,-0.19,6,12,17
22/02/2022 06:44,-0.19,6,12,17
22/02/2022 09:44,-0.19,6,12,17
22/02/2022 12:44,-0.19,6,12,17
22/02/2022 15:44,-0.19,6,12,17
22/02/2022 18:44,-0.19,6,12,17
22/02/2022 21:44,-0.19,6,12,17
22/02/2022 22:45,-0.14,6,12,17
22/02/2022 23:38,-0.09,6,12,17
22/02/2022 23:53,-0.04,6,12,17
23/02/2022 00:02,0.01,6,12,17
23/02/2022 00:34,0.11,6,12,17
23/02/2022 00:44,0.16,6,12,17
23/02/2022 00:46,0.21,6,12,17
23/02/2022 00:50,0.26,6,12,17
23/02/2022 00:57,0.36,6,12,17
23/02/2022 01:00,0.41,6,12,17
23/02/2022 01:05,0.51,6,12,17
23/02/2022 01:07,0.56,6,12,17
23/02/2022 01:10,0.61,6,12,17
23/02/2022 01:13,0.66,6,12,17
23/02/2022 01:15,0.71,6,12,17
23/02/2022 01:17,0.76,6,12,17
23/02/2022 01:20,0.81,6,12,17
23/02/2022 01:22,0.86,6,12,17
23/02/2022 01:27,0.96,6,12,17
23/02/2022 01:29,1.01,6,12,17
23/02/2022 01:32,1.06,6,12,17
23/02/2022 01:34,1.11,6,12,17
23/02/2022 01:37,1.16,6,12,17
23/02/2022 01:39,1.21,6,12,17
23/02/2022 01:44,1.31,6,12,17
23/02/2022 01:48,1.41,6,12,17
23/02/2022 01:51,1.46,6,12,17
23/02/2022 01:53,1.51,6,12,17
23/02/2022 01:55,1.56,6,12,17
23/02/2022 01:58,1.61,6,12,17
23/02/2022 02:00,1.66,6,12,17
23/02/2022 02:01,1.66,6,12,17
23/02/2022 02:02,1.71,6,12,17
23/02/2022 02:04,1.76,6,12,17
23/02/2022 02:07,1.81,6,12,17
23/02/2022 02:09,1.86,6,12,17
23/02/2022 02:11,1.91,6,12,17
23/02/2022 02:14,1.96,6,12,17
23/02/2022 02:16,2.01,6,12,17
23/02/2022 02:21,2.11,6,12,17
23/02/2022 02:23,2.16,6,12,17
23/02/2022 02:27,2.26,6,12,17
23/02/2022 02:30,2.31,6,12,17
23/02/2022 02:32,2.36,6,12,17
23/02/2022 02:34,2.41,6,12,17
23/02/2022 02:36,2.46,6,12,17
23/02/2022 02:38,2.51,6,12,17
23/02/2022 02:40,2.56,6,12,17
23/02/2022 02:43,2.61,6,12,17
23/02/2022 02:45,2.66,6,12,17
23/02/2022 02:47,2.71,6,12,17
23/02/2022 02:49,2.76,6,12,17
23/02/2022 02:51,2.81,6,12,17
23/02/2022 02:53,2.86,6,12,17
23/02/2022 02:56,2.91,6,12,17
23/02/2022 02:58,2.96,6,12,17
23/02/2022 03:00,3.01,6,12,17
23/02/2022 03:02,3.06,6,12,17
23/02/2022 03:04,3.11,6,12,17
23/02/2022 03:06,3.16,6,12,17
23/02/2022 03:08,3.21,6,12,17
23/02/2022 03:10,3.26,6,12,17
23/02/2022 03:12,3.31,6,12,17
23/02/2022 03:14,3.36,6,12,17
23/02/2022 03:17,3.41,6,12,17
23/02/2022 03:21,3.51,6,12,17
23/02/2022 03:23,3.56,6,12,17
23/02/2022 03:25,3.61,6,12,17
23/02/2022 03:31,3.76,6,12,17
23/02/2022 03:33,3.81,6,12,17
23/02/2022 03:35,3.86,6,12,17
23/02/2022 03:41,4.01,6,12,17
23/02/2022 03:43,4.06,6,12,17
23/02/2022 03:45,4.11,6,12,17
23/02/2022 03:47,4.16,6,12,17
23/02/2022 03:49,4.21,6,12,17
23/02/2022 03:51,4.26,6,12,17
23/02/2022 03:53,4.31,6,12,17
23/02/2022 03:57,4.41,6,12,17
23/02/2022 03:59,4.46,6,12,17
23/02/2022 04:01,4.51,6,12,17
23/02/2022 04:03,4.56,6,12,17
23/02/2022 04:07,4.66,6,12,17
23/02/2022 04:09,4.71,6,12,17
23/02/2022 04:11,4.76,6,12,17
23/02/2022 04:15,4.86,6,12,17
23/02/2022 04:17,4.91,6,12,17
23/02/2022 04:19,4.96,6,12,17
23/02/2022 04:21,5.01,6,12,17
23/02/2022 04:23,5.06,6,12,17
23/02/2022 04:25,5.11,6,12,17
23/02/2022 04:27,5.16,6,12,17
23/02/2022 04:32,5.31,6,12,17
23/02/2022 04:34,5.36,6,12,17
23/02/2022 04:36,5.41,6,12,17
23/02/2022 04:40,5.51,6,12,17
23/02/2022 04:44,5.61,6,12,17
23/02/2022 04:45,5.66,6,12,17
23/02/2022 04:47,5.71,6,12,17
23/02/2022 04:49,5.76,6,12,17
23/02/2022 04:51,5.81,6,12,17
23/02/2022 04:53,5.86,6,12,17
23/02/2022 04:55,5.91,6,12,17
23/02/2022 04:56,5.96,6,12,17
23/02/2022 04:58,6.01,6,12,17
23/02/2022 05:00,6.06,6,12,17
23/02/2022 05:02,6.11,6,12,17
23/02/2022 05:04,6.16,6,12,17
23/02/2022 05:06,6.21,6,12,17
23/02/2022 05:07,6.26,6,12,17
23/02/2022 05:09,6.31,6,12,17
23/02/2022 05:11,6.36,6,12,17
23/02/2022 05:13,6.41,6,12,17
23/02/2022 05:16,6.51,6,12,17
23/02/2022 05:18,6.56,6,12,17
23/02/2022 05:20,6.61,6,12,17
23/02/2022 05:22,6.66,6,12,17
23/02/2022 05:23,6.71,6,12,17
23/02/2022 05:27,6.81,6,12,17
23/02/2022 05:28,6.86,6,12,17
23/02/2022 05:30,6.91,6,12,17
23/02/2022 05:32,6.96,6,12,17
23/02/2022 05:33,7.01,6,12,17
23/02/2022 05:35,7.06,6,12,17
23/02/2022 05:38,7.16,6,12,17
23/02/2022 05:43,7.31,6,12,17
23/02/2022 05:47,7.41,6,12,17
23/02/2022 05:48,7.46,6,12,17
23/02/2022 05:52,7.56,6,12,17
23/02/2022 05:53,7.61,6,12,17
23/02/2022 05:55,7.66,6,12,17
23/02/2022 05:57,7.71,6,12,17
23/02/2022 05:58,7.76,6,12,17
23/02/2022 06:00,7.81,6,12,17
23/02/2022 06:08,8.06,6,12,17
23/02/2022 06:10,8.11,6,12,17
23/02/2022 06:11,8.16,6,12,17
23/02/2022 06:13,8.21,6,12,17
23/02/2022 06:15,8.26,6,12,17
23/02/2022 06:16,8.31,6,12,17
23/02/2022 06:20,8.36,6,12,17
23/02/2022 06:21,8.41,6,12,17
23/02/2022 06:24,8.46,6,12,17
23/02/2022 06:27,8.51,6,12,17
23/02/2022 06:30,8.56,6,12,17
23/02/2022 06:32,8.61,6,12,17
23/02/2022 06:36,8.66,6,12,17
23/02/2022 06:37,8.71,6,12,17
23/02/2022 06:40,8.76,6,12,17
23/02/2022 06:44,8.76,6,12,17
23/02/2022 06:44,8.81,6,12,17
23/02/2022 06:47,8.86,6,12,17
23/02/2022 06:51,8.91,6,12,17
23/02/2022 06:54,8.96,6,12,17
23/02/2022 06:58,9.01,6,12,17
23/02/2022 07:01,9.06,6,12,17
23/02/2022 07:04,9.11,6,12,17
23/02/2022 07:07,9.16,6,12,17
23/02/2022 07:14,9.21,6,12,17
23/02/2022 07:17,9.26,6,12,17
23/02/2022 07:20,9.31,6,12,17
23/02/2022 07:24,9.36,6,12,17
23/02/2022 07:35,9.51,6,12,17
23/02/2022 07:42,9.56,6,12,17
23/02/2022 07:45,9.61,6,12,17
23/02/2022 07:53,9.66,6,12,17
23/02/2022 07:57,9.71,6,12,17
23/02/2022 08:04,9.76,6,12,17
23/02/2022 08:05,9.81,6,12,17
23/02/2022 08:12,9.86,6,12,17
23/02/2022 08:17,9.91,6,12,17
23/02/2022 08:20,9.96,6,12,17
23/02/2022 08:26,9.91,6,12,17
23/02/2022 08:28,9.96,6,12,17
23/02/2022 08:30,10.01,6,12,17
23/02/2022 08:37,10.06,6,12,17
23/02/2022 08:41,10.11,6,12,17
23/02/2022 08:47,10.16,6,12,17
23/02/2022 08:53,10.21,6,12,17
23/02/2022 08:59,10.26,6,12,17
23/02/2022 09:05,10.31,6,12,17
23/02/2022 09:12,10.36,6,12,17
23/02/2022 09:24,10.41,6,12,17
23/02/2022 09:31,10.46,6,12,17
