date,Water Level (m),Minor flood,Moderate flood,Major flood
2022-02-24 00:47:00,1.28,4.2,7.2,9.7
2022-02-24 01:03:00,1.33,4.2,7.2,9.7
2022-02-24 02:03:00,1.51,4.2,7.2,9.7
2022-02-24 03:03:00,1.86,4.2,7.2,9.7
2022-02-24 04:03:00,2.37,4.2,7.2,9.7
2022-02-24 05:03:00,2.8,4.2,7.2,9.7
2022-02-24 06:03:00,3.16,4.2,7.2,9.7
2022-02-24 07:03:00,3.5,4.2,7.2,9.7
2022-02-24 08:03:00,3.81,4.2,7.2,9.7
2022-02-24 09:03:00,4.08,4.2,7.2,9.7
2022-02-24 10:03:00,4.34,4.2,7.2,9.7
2022-02-24 11:07:00,4.61,4.2,7.2,9.7
2022-02-24 12:03:00,4.86,4.2,7.2,9.7
2022-02-24 13:03:00,5.15,4.2,7.2,9.7
2022-02-24 14:03:00,5.39,4.2,7.2,9.7
2022-02-24 15:03:00,5.6,4.2,7.2,9.7
2022-02-24 16:03:00,5.79,4.2,7.2,9.7
2022-02-24 17:15:00,6.0,4.2,7.2,9.7
2022-02-24 18:11:00,6.15,4.2,7.2,9.7
2022-02-24 19:03:00,6.28,4.2,7.2,9.7
2022-02-24 20:03:00,6.41,4.2,7.2,9.7
2022-02-24 21:07:00,6.55,4.2,7.2,9.7
2022-02-24 22:03:00,6.66,4.2,7.2,9.7
2022-02-24 23:03:00,6.77,4.2,7.2,9.7
2022-02-25 00:07:00,6.87,4.2,7.2,9.7
2022-02-25 01:15:00,6.97,4.2,7.2,9.7
2022-02-25 02:07:00,7.02,4.2,7.2,9.7
2022-02-25 03:15:00,7.09,4.2,7.2,9.7
2022-02-25 04:11:00,7.14,4.2,7.2,9.7
2022-02-25 05:23:00,7.18,4.2,7.2,9.7
2022-02-25 06:15:00,7.2,4.2,7.2,9.7
2022-02-25 07:23:00,7.2,4.2,7.2,9.7
2022-02-25 08:35:00,7.2,4.2,7.2,9.7
2022-02-25 09:19:00,7.17,4.2,7.2,9.7
2022-02-25 10:07:00,7.19,4.2,7.2,9.7
2022-02-25 11:15:00,7.15,4.2,7.2,9.7
2022-02-25 12:07:00,7.13,4.2,7.2,9.7
2022-02-25 13:15:00,7.09,4.2,7.2,9.7
2022-02-25 14:11:00,7.05,4.2,7.2,9.7
2022-02-25 15:15:00,7.0,4.2,7.2,9.7
2022-02-25 16:03:00,6.96,4.2,7.2,9.7
2022-02-25 17:07:00,6.9,4.2,7.2,9.7
2022-02-25 18:11:00,6.84,4.2,7.2,9.7
2022-02-25 19:07:00,6.78,4.2,7.2,9.7
2022-02-25 20:11:00,6.72,4.2,7.2,9.7
2022-02-25 21:15:00,6.66,4.2,7.2,9.7
2022-02-25 22:11:00,6.6,4.2,7.2,9.7
2022-02-25 23:03:00,6.54,4.2,7.2,9.7
2022-02-26 00:07:00,6.48,4.2,7.2,9.7
2022-02-26 01:03:00,6.42,4.2,7.2,9.7
2022-02-26 02:07:00,6.35,4.2,7.2,9.7
2022-02-26 03:11:00,6.28,4.2,7.2,9.7
2022-02-26 04:03:00,6.22,4.2,7.2,9.7
2022-02-26 05:07:00,6.14,4.2,7.2,9.7
2022-02-26 06:07:00,6.06,4.2,7.2,9.7
2022-02-26 07:07:00,5.98,4.2,7.2,9.7
2022-02-26 08:07:00,5.9,4.2,7.2,9.7
2022-02-26 09:07:00,5.81,4.2,7.2,9.7
2022-02-26 10:03:00,5.73,4.2,7.2,9.7
2022-02-26 11:07:00,5.63,4.2,7.2,9.7
2022-02-26 12:03:00,5.54,4.2,7.2,9.7
2022-02-26 13:07:00,5.43,4.2,7.2,9.7
2022-02-26 14:03:00,5.34,4.2,7.2,9.7
2022-02-26 15:03:00,5.24,4.2,7.2,9.7
2022-02-26 16:03:00,5.14,4.2,7.2,9.7
2022-02-26 17:07:00,5.04,4.2,7.2,9.7
2022-02-26 18:07:00,4.95,4.2,7.2,9.7
2022-02-26 19:11:00,4.86,4.2,7.2,9.7
2022-02-26 20:07:00,4.79,4.2,7.2,9.7
2022-02-26 21:15:00,4.71,4.2,7.2,9.7
2022-02-26 22:11:00,4.65,4.2,7.2,9.7
2022-02-26 23:11:00,4.6,4.2,7.2,9.7
2022-02-27 00:03:00,4.57,4.2,7.2,9.7
2022-02-27 02:07:00,4.56,4.2,7.2,9.7
2022-02-27 03:11:00,4.59,4.2,7.2,9.7
2022-02-27 04:15:00,4.64,4.2,7.2,9.7
2022-02-27 05:03:00,4.68,4.2,7.2,9.7
