date,Water Level (m),Minor flood,Moderate flood,Major flood
24/02/2022 00:18,0.3,1.7,2.6,3.5
24/02/2022 00:22,0.32,1.7,2.6,3.5
24/02/2022 00:26,0.34,1.7,2.6,3.5
24/02/2022 00:30,0.36,1.7,2.6,3.5
24/02/2022 00:34,0.38,1.7,2.6,3.5
24/02/2022 00:38,0.4,1.7,2.6,3.5
24/02/2022 00:42,0.42,1.7,2.6,3.5
24/02/2022 00:45,0.44,1.7,2.6,3.5
24/02/2022 00:49,0.46,1.7,2.6,3.5
24/02/2022 00:52,0.48,1.7,2.6,3.5
24/02/2022 00:55,0.5,1.7,2.6,3.5
24/02/2022 00:58,0.52,1.7,2.6,3.5
24/02/2022 01:01,0.54,1.7,2.6,3.5
24/02/2022 01:04,0.56,1.7,2.6,3.5
24/02/2022 01:07,0.58,1.7,2.6,3.5
24/02/2022 01:11,0.6,1.7,2.6,3.5
24/02/2022 01:14,0.62,1.7,2.6,3.5
24/02/2022 01:17,0.64,1.7,2.6,3.5
24/02/2022 01:21,0.66,1.7,2.6,3.5
24/02/2022 01:26,0.68,1.7,2.6,3.5
24/02/2022 01:32,0.7,1.7,2.6,3.5
24/02/2022 01:36,0.72,1.7,2.6,3.5
24/02/2022 01:40,0.74,1.7,2.6,3.5
24/02/2022 01:44,0.76,1.7,2.6,3.5
24/02/2022 01:49,0.78,1.7,2.6,3.5
24/02/2022 01:54,0.8,1.7,2.6,3.5
24/02/2022 01:58,0.82,1.7,2.6,3.5
24/02/2022 02:02,0.84,1.7,2.6,3.5
24/02/2022 02:06,0.86,1.7,2.6,3.5
24/02/2022 02:10,0.88,1.7,2.6,3.5
24/02/2022 02:13,0.9,1.7,2.6,3.5
24/02/2022 02:17,1.0,1.7,2.6,3.5
24/02/2022 02:29,0.94,1.7,2.6,3.5
24/02/2022 02:35,0.96,1.7,2.6,3.5
24/02/2022 02:50,0.98,1.7,2.6,3.5
24/02/2022 03:07,1.0,1.7,2.6,3.5
24/02/2022 03:13,1.02,1.7,2.6,3.5
24/02/2022 03:25,1.0,1.7,2.6,3.5
24/02/2022 04:03,0.98,1.7,2.6,3.5
24/02/2022 04:15,0.96,1.7,2.6,3.5
24/02/2022 04:19,0.94,1.7,2.6,3.5
24/02/2022 04:26,0.92,1.7,2.6,3.5
24/02/2022 04:29,0.9,1.7,2.6,3.5
24/02/2022 04:34,0.88,1.7,2.6,3.5
24/02/2022 04:39,0.86,1.7,2.6,3.5
24/02/2022 04:46,0.84,1.7,2.6,3.5
24/02/2022 04:54,0.82,1.7,2.6,3.5
24/02/2022 05:03,0.8,1.7,2.6,3.5
24/02/2022 05:07,0.78,1.7,2.6,3.5
24/02/2022 05:11,0.76,1.7,2.6,3.5
24/02/2022 05:15,0.74,1.7,2.6,3.5
24/02/2022 05:20,0.72,1.7,2.6,3.5
24/02/2022 05:23,0.7,1.7,2.6,3.5
24/02/2022 05:27,0.68,1.7,2.6,3.5
24/02/2022 05:30,0.66,1.7,2.6,3.5
24/02/2022 05:34,0.64,1.7,2.6,3.5
24/02/2022 05:37,0.62,1.7,2.6,3.5
24/02/2022 05:41,0.6,1.7,2.6,3.5
24/02/2022 05:45,0.58,1.7,2.6,3.5
24/02/2022 05:50,0.56,1.7,2.6,3.5
24/02/2022 05:56,0.54,1.7,2.6,3.5
24/02/2022 06:03,0.52,1.7,2.6,3.5
24/02/2022 06:06,0.5,1.7,2.6,3.5
24/02/2022 06:11,0.48,1.7,2.6,3.5
24/02/2022 06:13,0.48,1.7,2.6,3.5
24/02/2022 06:13,0.46,1.7,2.6,3.5
24/02/2022 06:16,0.44,1.7,2.6,3.5
24/02/2022 06:20,0.42,1.7,2.6,3.5
24/02/2022 06:24,0.4,1.7,2.6,3.5
24/02/2022 06:28,0.38,1.7,2.6,3.5
24/02/2022 06:32,0.36,1.7,2.6,3.5
24/02/2022 06:35,0.34,1.7,2.6,3.5
24/02/2022 06:40,0.32,1.7,2.6,3.5
24/02/2022 06:45,0.3,1.7,2.6,3.5
24/02/2022 06:52,0.28,1.7,2.6,3.5
24/02/2022 06:56,0.26,1.7,2.6,3.5
24/02/2022 06:59,0.24,1.7,2.6,3.5
24/02/2022 07:02,0.22,1.7,2.6,3.5
24/02/2022 07:05,0.2,1.7,2.6,3.5
24/02/2022 07:07,0.18,1.7,2.6,3.5
24/02/2022 07:10,0.16,1.7,2.6,3.5
24/02/2022 07:13,0.14,1.7,2.6,3.5
24/02/2022 07:17,0.12,1.7,2.6,3.5
24/02/2022 07:21,0.1,1.7,2.6,3.5
24/02/2022 07:24,0.08,1.7,2.6,3.5
24/02/2022 07:29,0.06,1.7,2.6,3.5
24/02/2022 07:34,0.04,1.7,2.6,3.5
24/02/2022 07:38,0.02,1.7,2.6,3.5
24/02/2022 07:43,0.0,1.7,2.6,3.5
