date,Water Level (m),Minor flood,Moderate flood,Major flood
24/02/2022 00:47,1.28,4.2,7.2,9.7
24/02/2022 00:55,1.31,4.2,7.2,9.7
24/02/2022 00:59,1.32,4.2,7.2,9.7
24/02/2022 01:03,1.33,4.2,7.2,9.7
24/02/2022 01:07,1.34,4.2,7.2,9.7
24/02/2022 01:11,1.36,4.2,7.2,9.7
24/02/2022 01:19,1.38,4.2,7.2,9.7
24/02/2022 01:23,1.4,4.2,7.2,9.7
24/02/2022 01:27,1.41,4.2,7.2,9.7
24/02/2022 01:35,1.43,4.2,7.2,9.7
24/02/2022 01:39,1.44,4.2,7.2,9.7
24/02/2022 01:43,1.46,4.2,7.2,9.7
24/02/2022 01:51,1.48,4.2,7.2,9.7
24/02/2022 01:55,1.49,4.2,7.2,9.7
24/02/2022 01:59,1.5,4.2,7.2,9.7
24/02/2022 02:03,1.51,4.2,7.2,9.7
24/02/2022 02:07,1.53,4.2,7.2,9.7
24/02/2022 02:11,1.54,4.2,7.2,9.7
24/02/2022 02:19,1.57,4.2,7.2,9.7
24/02/2022 02:23,1.59,4.2,7.2,9.7
24/02/2022 02:31,1.62,4.2,7.2,9.7
24/02/2022 02:39,1.68,4.2,7.2,9.7
24/02/2022 02:43,1.71,4.2,7.2,9.7
24/02/2022 02:47,1.74,4.2,7.2,9.7
24/02/2022 02:51,1.77,4.2,7.2,9.7
24/02/2022 02:55,1.8,4.2,7.2,9.7
24/02/2022 02:59,1.83,4.2,7.2,9.7
24/02/2022 03:03,1.86,4.2,7.2,9.7
24/02/2022 03:07,1.9,4.2,7.2,9.7
24/02/2022 03:15,1.97,4.2,7.2,9.7
24/02/2022 03:19,2.0,4.2,7.2,9.7
24/02/2022 03:27,2.07,4.2,7.2,9.7
24/02/2022 03:31,2.1,4.2,7.2,9.7
24/02/2022 03:35,2.13,4.2,7.2,9.7
24/02/2022 03:39,2.17,4.2,7.2,9.7
24/02/2022 03:47,2.23,4.2,7.2,9.7
24/02/2022 03:55,2.3,4.2,7.2,9.7
24/02/2022 03:59,2.34,4.2,7.2,9.7
24/02/2022 04:03,2.37,4.2,7.2,9.7
24/02/2022 04:07,2.4,4.2,7.2,9.7
24/02/2022 04:11,2.44,4.2,7.2,9.7
24/02/2022 04:15,2.47,4.2,7.2,9.7
24/02/2022 04:19,2.5,4.2,7.2,9.7
24/02/2022 04:23,2.53,4.2,7.2,9.7
24/02/2022 04:27,2.56,4.2,7.2,9.7
24/02/2022 04:31,2.59,4.2,7.2,9.7
24/02/2022 04:35,2.62,4.2,7.2,9.7
24/02/2022 04:39,2.64,4.2,7.2,9.7
24/02/2022 04:43,2.67,4.2,7.2,9.7
24/02/2022 04:47,2.7,4.2,7.2,9.7
24/02/2022 04:51,2.73,4.2,7.2,9.7
24/02/2022 04:55,2.75,4.2,7.2,9.7
24/02/2022 04:59,2.78,4.2,7.2,9.7
24/02/2022 05:03,2.8,4.2,7.2,9.7
24/02/2022 05:07,2.83,4.2,7.2,9.7
24/02/2022 05:11,2.85,4.2,7.2,9.7
24/02/2022 05:15,2.88,4.2,7.2,9.7
24/02/2022 05:19,2.9,4.2,7.2,9.7
24/02/2022 05:23,2.92,4.2,7.2,9.7
24/02/2022 05:27,2.94,4.2,7.2,9.7
24/02/2022 05:31,2.97,4.2,7.2,9.7
24/02/2022 05:35,2.99,4.2,7.2,9.7
24/02/2022 05:39,3.01,4.2,7.2,9.7
24/02/2022 05:43,3.04,4.2,7.2,9.7
24/02/2022 05:47,3.06,4.2,7.2,9.7
24/02/2022 05:51,3.09,4.2,7.2,9.7
24/02/2022 05:59,3.14,4.2,7.2,9.7
24/02/2022 06:03,3.16,4.2,7.2,9.7
24/02/2022 06:07,3.18,4.2,7.2,9.7
24/02/2022 06:11,3.21,4.2,7.2,9.7
24/02/2022 06:15,3.23,4.2,7.2,9.7
24/02/2022 06:19,3.25,4.2,7.2,9.7
24/02/2022 06:27,3.29,4.2,7.2,9.7
24/02/2022 06:31,3.32,4.2,7.2,9.7
24/02/2022 06:35,3.34,4.2,7.2,9.7
24/02/2022 06:39,3.36,4.2,7.2,9.7
24/02/2022 06:47,3.41,4.2,7.2,9.7
24/02/2022 06:51,3.43,4.2,7.2,9.7
24/02/2022 06:55,3.45,4.2,7.2,9.7
24/02/2022 07:03,3.5,4.2,7.2,9.7
24/02/2022 07:07,3.52,4.2,7.2,9.7
24/02/2022 07:11,3.54,4.2,7.2,9.7
24/02/2022 07:15,3.57,4.2,7.2,9.7
24/02/2022 07:19,3.58,4.2,7.2,9.7
24/02/2022 07:23,3.6,4.2,7.2,9.7
24/02/2022 07:27,3.62,4.2,7.2,9.7
24/02/2022 07:31,3.64,4.2,7.2,9.7
24/02/2022 07:35,3.66,4.2,7.2,9.7
24/02/2022 07:39,3.68,4.2,7.2,9.7
24/02/2022 07:43,3.7,4.2,7.2,9.7
24/02/2022 07:51,3.74,4.2,7.2,9.7
24/02/2022 07:55,3.76,4.2,7.2,9.7
24/02/2022 07:59,3.78,4.2,7.2,9.7
24/02/2022 08:03,3.81,4.2,7.2,9.7
24/02/2022 08:07,3.83,4.2,7.2,9.7
24/02/2022 08:11,3.85,4.2,7.2,9.7
24/02/2022 08:15,3.86,4.2,7.2,9.7
24/02/2022 08:19,3.88,4.2,7.2,9.7
24/02/2022 08:27,3.92,4.2,7.2,9.7
24/02/2022 08:31,3.94,4.2,7.2,9.7
24/02/2022 08:35,3.96,4.2,7.2,9.7
24/02/2022 08:39,3.97,4.2,7.2,9.7
24/02/2022 08:43,3.99,4.2,7.2,9.7
24/02/2022 08:47,4.01,4.2,7.2,9.7
24/02/2022 08:51,4.03,4.2,7.2,9.7
24/02/2022 08:55,4.05,4.2,7.2,9.7
24/02/2022 08:59,4.06,4.2,7.2,9.7
24/02/2022 09:03,4.08,4.2,7.2,9.7
24/02/2022 09:07,4.1,4.2,7.2,9.7
24/02/2022 09:11,4.11,4.2,7.2,9.7
24/02/2022 09:19,4.14,4.2,7.2,9.7
24/02/2022 09:23,4.17,4.2,7.2,9.7
24/02/2022 09:27,4.19,4.2,7.2,9.7
24/02/2022 09:35,4.21,4.2,7.2,9.7
24/02/2022 09:39,4.23,4.2,7.2,9.7
24/02/2022 09:43,4.25,4.2,7.2,9.7
24/02/2022 09:47,4.27,4.2,7.2,9.7
24/02/2022 09:51,4.29,4.2,7.2,9.7
24/02/2022 09:55,4.31,4.2,7.2,9.7
24/02/2022 09:59,4.33,4.2,7.2,9.7
24/02/2022 10:03,4.34,4.2,7.2,9.7
24/02/2022 10:11,4.38,4.2,7.2,9.7
24/02/2022 10:15,4.4,4.2,7.2,9.7
24/02/2022 10:19,4.41,4.2,7.2,9.7
24/02/2022 10:23,4.43,4.2,7.2,9.7
24/02/2022 10:27,4.45,4.2,7.2,9.7
24/02/2022 10:31,4.47,4.2,7.2,9.7
24/02/2022 10:35,4.48,4.2,7.2,9.7
24/02/2022 10:39,4.49,4.2,7.2,9.7
24/02/2022 10:43,4.51,4.2,7.2,9.7
24/02/2022 10:51,4.55,4.2,7.2,9.7
24/02/2022 10:55,4.56,4.2,7.2,9.7
24/02/2022 10:59,4.58,4.2,7.2,9.7
24/02/2022 11:07,4.61,4.2,7.2,9.7
24/02/2022 11:11,4.63,4.2,7.2,9.7
24/02/2022 11:19,4.66,4.2,7.2,9.7
24/02/2022 11:27,4.69,4.2,7.2,9.7
24/02/2022 11:31,4.71,4.2,7.2,9.7
24/02/2022 11:35,4.73,4.2,7.2,9.7
24/02/2022 11:39,4.75,4.2,7.2,9.7
24/02/2022 11:43,4.77,4.2,7.2,9.7
24/02/2022 11:47,4.79,4.2,7.2,9.7
24/02/2022 11:55,4.83,4.2,7.2,9.7
24/02/2022 11:59,4.84,4.2,7.2,9.7
24/02/2022 12:03,4.86,4.2,7.2,9.7
24/02/2022 12:11,4.9,4.2,7.2,9.7
24/02/2022 12:15,4.92,4.2,7.2,9.7
24/02/2022 12:19,4.93,4.2,7.2,9.7
24/02/2022 12:23,4.93,4.2,7.2,9.7
