date,Water Level (m),Minor flood,Moderate flood,Major flood
26/03/2022 00:18,0.0,3,4,4.8
26/03/2022 00:21,0.01,3,4,4.8
26/03/2022 00:24,0.02,3,4,4.8
26/03/2022 00:27,0.03,3,4,4.8
26/03/2022 00:30,0.04,3,4,4.8
26/03/2022 00:34,0.05,3,4,4.8
26/03/2022 00:37,0.06,3,4,4.8
26/03/2022 00:40,0.07,3,4,4.8
26/03/2022 00:43,0.08,3,4,4.8
26/03/2022 00:45,0.09,3,4,4.8
26/03/2022 00:47,0.1,3,4,4.8
26/03/2022 00:50,0.11,3,4,4.8
26/03/2022 00:52,0.12,3,4,4.8
26/03/2022 00:55,0.13,3,4,4.8
26/03/2022 00:57,0.14,3,4,4.8
26/03/2022 01:00,0.15,3,4,4.8
26/03/2022 01:02,0.16,3,4,4.8
26/03/2022 01:05,0.17,3,4,4.8
26/03/2022 01:07,0.18,3,4,4.8
26/03/2022 01:10,0.19,3,4,4.8
26/03/2022 01:12,0.2,3,4,4.8
26/03/2022 01:14,0.21,3,4,4.8
26/03/2022 01:16,0.22,3,4,4.8
26/03/2022 01:19,0.23,3,4,4.8
26/03/2022 01:21,0.24,3,4,4.8
26/03/2022 01:23,0.25,3,4,4.8
26/03/2022 01:26,0.26,3,4,4.8
26/03/2022 01:28,0.27,3,4,4.8
26/03/2022 01:30,0.28,3,4,4.8
26/03/2022 01:32,0.29,3,4,4.8
26/03/2022 01:35,0.3,3,4,4.8
26/03/2022 01:37,0.31,3,4,4.8
26/03/2022 01:39,0.32,3,4,4.8
26/03/2022 01:42,0.33,3,4,4.8
26/03/2022 01:43,0.34,3,4,4.8
26/03/2022 01:46,0.35,3,4,4.8
26/03/2022 01:49,0.36,3,4,4.8
26/03/2022 01:52,0.37,3,4,4.8
26/03/2022 01:55,0.38,3,4,4.8
26/03/2022 01:58,0.39,3,4,4.8
26/03/2022 02:00,0.4,3,4,4.8
26/03/2022 02:02,0.41,3,4,4.8
26/03/2022 02:05,0.42,3,4,4.8
26/03/2022 02:07,0.43,3,4,4.8
26/03/2022 02:09,0.44,3,4,4.8
26/03/2022 02:12,0.45,3,4,4.8
26/03/2022 02:14,0.46,3,4,4.8
26/03/2022 02:17,0.47,3,4,4.8
26/03/2022 02:21,0.48,3,4,4.8
26/03/2022 02:23,0.49,3,4,4.8
26/03/2022 02:24,0.49,3,4,4.8
26/03/2022 02:26,0.5,3,4,4.8
26/03/2022 02:30,0.51,3,4,4.8
26/03/2022 02:32,0.52,3,4,4.8
26/03/2022 02:36,0.53,3,4,4.8
26/03/2022 02:38,0.54,3,4,4.8
26/03/2022 02:41,0.55,3,4,4.8
26/03/2022 02:45,0.56,3,4,4.8
26/03/2022 02:49,0.57,3,4,4.8
26/03/2022 02:52,0.58,3,4,4.8
26/03/2022 02:56,0.59,3,4,4.8
26/03/2022 02:59,0.6,3,4,4.8
26/03/2022 03:05,0.61,3,4,4.8
26/03/2022 03:08,0.62,3,4,4.8
26/03/2022 03:12,0.63,3,4,4.8
26/03/2022 03:16,0.64,3,4,4.8
26/03/2022 03:20,0.65,3,4,4.8
26/03/2022 03:26,0.66,3,4,4.8
26/03/2022 03:29,0.67,3,4,4.8
26/03/2022 03:34,0.68,3,4,4.8
26/03/2022 03:38,0.69,3,4,4.8
26/03/2022 03:41,0.7,3,4,4.8
26/03/2022 03:46,0.71,3,4,4.8
26/03/2022 03:50,0.72,3,4,4.8
26/03/2022 03:55,0.73,3,4,4.8
26/03/2022 04:00,0.74,3,4,4.8
26/03/2022 04:05,0.75,3,4,4.8
26/03/2022 04:10,0.76,3,4,4.8
26/03/2022 04:14,0.77,3,4,4.8
26/03/2022 04:19,0.78,3,4,4.8
26/03/2022 04:24,0.79,3,4,4.8
26/03/2022 04:29,0.8,3,4,4.8
26/03/2022 04:35,0.81,3,4,4.8
26/03/2022 04:44,0.82,3,4,4.8
26/03/2022 04:51,0.83,3,4,4.8
26/03/2022 04:59,0.84,3,4,4.8
26/03/2022 05:21,0.85,3,4,4.8
26/03/2022 05:24,0.85,3,4,4.8
26/03/2022 05:56,0.84,3,4,4.8
26/03/2022 06:07,0.83,3,4,4.8
26/03/2022 06:16,0.82,3,4,4.8
26/03/2022 06:23,0.81,3,4,4.8
26/03/2022 06:29,0.8,3,4,4.8
26/03/2022 06:34,0.79,3,4,4.8
26/03/2022 06:39,0.78,3,4,4.8
26/03/2022 06:43,0.77,3,4,4.8
26/03/2022 06:46,0.76,3,4,4.8
26/03/2022 06:51,0.75,3,4,4.8
26/03/2022 06:55,0.74,3,4,4.8
26/03/2022 06:59,0.73,3,4,4.8
26/03/2022 07:02,0.72,3,4,4.8
26/03/2022 07:07,0.71,3,4,4.8
26/03/2022 07:10,0.7,3,4,4.8
26/03/2022 07:13,0.69,3,4,4.8
26/03/2022 07:17,0.68,3,4,4.8
26/03/2022 07:21,0.67,3,4,4.8
26/03/2022 07:25,0.66,3,4,4.8
26/03/2022 07:28,0.65,3,4,4.8
26/03/2022 07:33,0.64,3,4,4.8
26/03/2022 07:37,0.63,3,4,4.8
26/03/2022 07:41,0.62,3,4,4.8
26/03/2022 07:44,0.61,3,4,4.8
26/03/2022 07:48,0.6,3,4,4.8
26/03/2022 07:52,0.59,3,4,4.8
26/03/2022 07:55,0.58,3,4,4.8
26/03/2022 07:58,0.57,3,4,4.8
26/03/2022 08:03,0.56,3,4,4.8
26/03/2022 08:07,0.55,3,4,4.8
26/03/2022 08:10,0.54,3,4,4.8
26/03/2022 08:13,0.53,3,4,4.8
26/03/2022 08:17,0.52,3,4,4.8
26/03/2022 08:20,0.51,3,4,4.8
26/03/2022 08:24,0.5,3,4,4.8
26/03/2022 08:28,0.49,3,4,4.8
26/03/2022 08:31,0.48,3,4,4.8
26/03/2022 08:34,0.47,3,4,4.8
26/03/2022 08:38,0.46,3,4,4.8
26/03/2022 08:42,0.45,3,4,4.8
26/03/2022 08:45,0.44,3,4,4.8
26/03/2022 08:48,0.43,3,4,4.8
26/03/2022 08:51,0.42,3,4,4.8
26/03/2022 08:55,0.41,3,4,4.8
26/03/2022 08:58,0.4,3,4,4.8
26/03/2022 09:02,0.39,3,4,4.8
26/03/2022 09:05,0.38,3,4,4.8
26/03/2022 09:10,0.37,3,4,4.8
26/03/2022 09:12,0.36,3,4,4.8
26/03/2022 09:16,0.35,3,4,4.8
26/03/2022 09:19,0.34,3,4,4.8
26/03/2022 09:23,0.33,3,4,4.8
26/03/2022 09:26,0.32,3,4,4.8
26/03/2022 09:30,0.31,3,4,4.8
26/03/2022 09:33,0.3,3,4,4.8
26/03/2022 09:37,0.29,3,4,4.8
26/03/2022 09:40,0.28,3,4,4.8
26/03/2022 09:43,0.27,3,4,4.8
26/03/2022 09:47,0.26,3,4,4.8
26/03/2022 09:51,0.25,3,4,4.8
26/03/2022 09:54,0.24,3,4,4.8
26/03/2022 09:57,0.23,3,4,4.8
26/03/2022 10:02,0.22,3,4,4.8
26/03/2022 10:04,0.21,3,4,4.8
26/03/2022 10:09,0.2,3,4,4.8
26/03/2022 10:12,0.19,3,4,4.8
26/03/2022 10:16,0.18,3,4,4.8
26/03/2022 10:21,0.17,3,4,4.8
26/03/2022 10:24,0.16,3,4,4.8
26/03/2022 10:28,0.15,3,4,4.8
26/03/2022 10:32,0.14,3,4,4.8
26/03/2022 10:36,0.13,3,4,4.8
26/03/2022 10:40,0.12,3,4,4.8
26/03/2022 10:45,0.11,3,4,4.8
26/03/2022 10:47,0.1,3,4,4.8
26/03/2022 10:51,0.09,3,4,4.8
26/03/2022 10:58,0.08,3,4,4.8
26/03/2022 11:01,0.07,3,4,4.8
26/03/2022 11:07,0.06,3,4,4.8
26/03/2022 11:09,0.05,3,4,4.8
26/03/2022 11:14,0.04,3,4,4.8
26/03/2022 11:20,0.03,3,4,4.8
26/03/2022 11:23,0.02,3,4,4.8
26/03/2022 11:24,0.02,3,4,4.8
26/03/2022 11:29,0.01,3,4,4.8
26/03/2022 11:31,0.0,3,4,4.8
26/03/2022 11:37,-0.01,3,4,4.8
26/03/2022 11:43,-0.02,3,4,4.8
26/03/2022 11:46,-0.03,3,4,4.8
26/03/2022 11:51,-0.04,3,4,4.8
26/03/2022 11:57,-0.05,3,4,4.8
26/03/2022 12:02,-0.06,3,4,4.8
26/03/2022 12:07,-0.07,3,4,4.8
26/03/2022 12:15,-0.08,3,4,4.8
26/03/2022 12:19,-0.09,3,4,4.8
26/03/2022 12:26,-0.1,3,4,4.8
26/03/2022 12:32,-0.11,3,4,4.8
26/03/2022 12:37,-0.12,3,4,4.8
26/03/2022 12:45,-0.13,3,4,4.8
26/03/2022 12:54,-0.14,3,4,4.8
26/03/2022 12:58,-0.15,3,4,4.8
26/03/2022 13:06,-0.16,3,4,4.8
26/03/2022 13:15,-0.17,3,4,4.8
26/03/2022 13:25,-0.18,3,4,4.8
26/03/2022 13:42,-0.19,3,4,4.8
26/03/2022 14:07,-0.18,3,4,4.8
26/03/2022 14:21,-0.17,3,4,4.8
26/03/2022 14:24,-0.17,3,4,4.8
26/03/2022 14:28,-0.16,3,4,4.8
26/03/2022 14:33,-0.15,3,4,4.8
26/03/2022 14:38,-0.14,3,4,4.8
26/03/2022 14:40,-0.13,3,4,4.8
26/03/2022 14:45,-0.12,3,4,4.8
26/03/2022 14:49,-0.11,3,4,4.8
26/03/2022 14:53,-0.1,3,4,4.8
26/03/2022 14:58,-0.09,3,4,4.8
26/03/2022 15:00,-0.08,3,4,4.8
26/03/2022 15:03,-0.07,3,4,4.8
26/03/2022 15:07,-0.06,3,4,4.8
26/03/2022 15:09,-0.05,3,4,4.8
26/03/2022 15:11,-0.04,3,4,4.8
26/03/2022 15:15,-0.03,3,4,4.8
26/03/2022 15:17,-0.02,3,4,4.8
26/03/2022 15:22,-0.01,3,4,4.8
26/03/2022 15:23,0.0,3,4,4.8
26/03/2022 15:28,0.01,3,4,4.8
26/03/2022 15:30,0.02,3,4,4.8
26/03/2022 15:33,0.03,3,4,4.8
26/03/2022 15:35,0.04,3,4,4.8
26/03/2022 15:39,0.05,3,4,4.8
26/03/2022 15:42,0.06,3,4,4.8
26/03/2022 15:46,0.07,3,4,4.8
26/03/2022 15:49,0.08,3,4,4.8
26/03/2022 15:53,0.09,3,4,4.8
26/03/2022 15:56,0.1,3,4,4.8
26/03/2022 15:59,0.11,3,4,4.8
26/03/2022 16:04,0.13,3,4,4.8
26/03/2022 16:10,0.14,3,4,4.8
26/03/2022 16:15,0.15,3,4,4.8
26/03/2022 16:20,0.16,3,4,4.8
26/03/2022 16:23,0.17,3,4,4.8
26/03/2022 16:28,0.18,3,4,4.8
26/03/2022 16:32,0.19,3,4,4.8
26/03/2022 16:37,0.2,3,4,4.8
26/03/2022 16:44,0.21,3,4,4.8
26/03/2022 16:51,0.22,3,4,4.8
26/03/2022 17:00,0.23,3,4,4.8
26/03/2022 17:06,0.24,3,4,4.8
26/03/2022 17:15,0.25,3,4,4.8
26/03/2022 17:21,0.26,3,4,4.8
26/03/2022 17:24,0.26,3,4,4.8
26/03/2022 17:32,0.27,3,4,4.8
26/03/2022 17:41,0.28,3,4,4.8
26/03/2022 17:55,0.29,3,4,4.8
26/03/2022 18:10,0.3,3,4,4.8
26/03/2022 18:24,0.29,3,4,4.8
26/03/2022 18:51,0.28,3,4,4.8
26/03/2022 19:01,0.27,3,4,4.8
26/03/2022 19:10,0.26,3,4,4.8
26/03/2022 19:17,0.25,3,4,4.8
26/03/2022 19:22,0.24,3,4,4.8
26/03/2022 19:28,0.23,3,4,4.8
26/03/2022 19:34,0.22,3,4,4.8
26/03/2022 19:38,0.21,3,4,4.8
26/03/2022 19:43,0.2,3,4,4.8
26/03/2022 19:49,0.19,3,4,4.8
26/03/2022 19:53,0.18,3,4,4.8
26/03/2022 19:58,0.17,3,4,4.8
26/03/2022 20:03,0.16,3,4,4.8
26/03/2022 20:06,0.15,3,4,4.8
26/03/2022 20:12,0.14,3,4,4.8
26/03/2022 20:15,0.13,3,4,4.8
26/03/2022 20:20,0.12,3,4,4.8
